"path","width","height","sha256","import_file","referencing_files","duplicate_hash_count","classification","proposed_canonical_id","migration_status","archive_status"
"res://assets/runtime/actors/hunter_down.png","56","64","94BA6DEF83B2FB484FACC5BC40FA0EA7E936C0E1CECAB422B5F267E351A281AD","res://assets/runtime/actors/hunter_down.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/hunter_frames.tres","1","CANONICAL","hunter_down","STAGED","BLOCKED"
"res://assets/runtime/actors/hunter_left.png","56","64","7C7E3F8B5D66750D54CB854DCAEB662CC02B5CFEDA75B4101DA03CE54F88A354","res://assets/runtime/actors/hunter_left.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/hunter_frames.tres","1","CANONICAL","hunter_left","STAGED","BLOCKED"
"res://assets/runtime/actors/hunter_right.png","56","64","7993895B450E09FB2A8595F1A93540E6103987DCAA2E11F82A79960435109856","res://assets/runtime/actors/hunter_right.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/hunter_frames.tres","1","CANONICAL","hunter_right","STAGED","BLOCKED"
"res://assets/runtime/actors/hunter_up.png","56","64","06A9BEE7D6A0C62A0F6B3A8E85A5E2156A1ED50FF78C7FD807C1464F9F3F0611","res://assets/runtime/actors/hunter_up.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/hunter_frames.tres","1","CANONICAL","hunter_up","STAGED","BLOCKED"
"res://assets/runtime/actors/mage_down.png","56","64","A99B324476AB1283F040999D4ABFB26871C10A4D85CB90003446FA0FD8D11D76","res://assets/runtime/actors/mage_down.png.import","assets/runtime/actors/mage_frames.tres;assets/runtime/asset_manifest.json","1","CANONICAL","mage_down","STAGED","BLOCKED"
"res://assets/runtime/actors/mage_left.png","56","64","CC8B08E10B6271F92C23CA4AC058710BF3A0FE7C7FB02D88675F21E4D7C7488A","res://assets/runtime/actors/mage_left.png.import","assets/runtime/actors/mage_frames.tres;assets/runtime/asset_manifest.json","1","CANONICAL","mage_left","STAGED","BLOCKED"
"res://assets/runtime/actors/mage_right.png","56","64","D6B2DFF5EB5A88691058B19B1159BD2B90D92CCFFF01C19412E3CA400191F453","res://assets/runtime/actors/mage_right.png.import","assets/runtime/actors/mage_frames.tres;assets/runtime/asset_manifest.json","1","CANONICAL","mage_right","STAGED","BLOCKED"
"res://assets/runtime/actors/mage_up.png","56","64","D396387A2C5EA9CEB9A1EF62F369AE46E6DC386269C08FE25901F6E888CAD021","res://assets/runtime/actors/mage_up.png.import","assets/runtime/actors/mage_frames.tres;assets/runtime/asset_manifest.json","1","CANONICAL","mage_up","STAGED","BLOCKED"
"res://assets/runtime/actors/rogue_down.png","56","64","C7C9D320FD081D270D64D29B00E7C568F62B5F3D82DAF60EA19C60892FE88F41","res://assets/runtime/actors/rogue_down.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/rogue_frames.tres","1","CANONICAL","rogue_down","STAGED","BLOCKED"
"res://assets/runtime/actors/rogue_left.png","56","64","42E46CEE0DD5FC9D6C169659F44C76BACD91AB2D986BD22BCC84AE3D086509B2","res://assets/runtime/actors/rogue_left.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/rogue_frames.tres","1","CANONICAL","rogue_left","STAGED","BLOCKED"
"res://assets/runtime/actors/rogue_right.png","56","64","628C2C35BEBC80368A6672F2A7939906FA270ED90FC230364E9D770866CFFBE2","res://assets/runtime/actors/rogue_right.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/rogue_frames.tres","1","CANONICAL","rogue_right","STAGED","BLOCKED"
"res://assets/runtime/actors/rogue_up.png","56","64","C2D87F2834B9E4EFCE10A45DD7633535FDC783861FB2BBFAF0DC224FFC6D3428","res://assets/runtime/actors/rogue_up.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/rogue_frames.tres","1","CANONICAL","rogue_up","STAGED","BLOCKED"
"res://assets/runtime/actors/warrior_down.png","56","64","221019F7C44B9A46058E5BC0AD0E771A63834850551C3EE28819E484F14141B0","res://assets/runtime/actors/warrior_down.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/warrior_frames.tres","1","CANONICAL","warrior_down","STAGED","BLOCKED"
"res://assets/runtime/actors/warrior_left.png","56","64","DD103297F805BC1334146A9E47B3986ED61438F76DBD01DF1CF258522A545D03","res://assets/runtime/actors/warrior_left.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/warrior_frames.tres","1","CANONICAL","warrior_left","STAGED","BLOCKED"
"res://assets/runtime/actors/warrior_right.png","56","64","8C30466B3143598F42AEA79DC886215C841D517C11154FAC29AAF9CFB6ED9A49","res://assets/runtime/actors/warrior_right.png.import","assets/runtime/asset_manifest.json;assets/runtime/actors/warrior_frames.tres","1","CANONICAL","warrior_right","STAGED","BLOCKED"
